"provision_id","source_id","article","paragraph","point","heading","stable_pinpoint","cross_references","definitions_required","recitals_required"
"LAW-EU-2024-1689-A010-P05-PTF","LAW-EU-2024-1689","10","5","f","Processing-record justification","Article 10(5)(f)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P06","LAW-EU-2024-1689","10","6","","Testing-only rule for non-training systems","Article 10(6)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2025-0327-A002-P02-PTA","LAW-EU-2025-0327","2","2","a","Definition — personal electronic health data","Article 2(2)(a)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTB","LAW-EU-2025-0327","2","2","b","Definition — non-personal electronic health data","Article 2(2)(b)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTC","LAW-EU-2025-0327","2","2","c","Definition — electronic health data","Article 2(2)(c)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTE","LAW-EU-2025-0327","2","2","e","Definition — secondary use","Article 2(2)(e)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTT-SPI","LAW-EU-2025-0327","2","2","t(i)","Definition — health data holder — legal right or obligation limb","Article 2(2)(t)(i)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTT-SPII","LAW-EU-2025-0327","2","2","t(ii)","Definition — health data holder — technical-control limb","Article 2(2)(t)(ii)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTV","LAW-EU-2025-0327","2","2","v","Definition — data permit","Article 2(2)(v)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTW","LAW-EU-2025-0327","2","2","w","Definition — dataset","Article 2(2)(w)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTY","LAW-EU-2025-0327","2","2","y","Definition — dataset catalogue","Article 2(2)(y)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTZ","LAW-EU-2025-0327","2","2","z","Definition — data quality","Article 2(2)(z)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327","2","2","aa","Definition — data quality and utility label","Article 2(2)(aa)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A050-P01-PTA","LAW-EU-2025-0327","50","1","a","Health-holder exemption — natural-person health data holders","Article 50(1)(a)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A050-P01-PTB","LAW-EU-2025-0327","50","1","b","Health-holder exemption — microenterprise health data holders","Article 50(1)(b)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTA","LAW-EU-2025-0327","51","1","a","Minimum secondary-use category — EHR data","Article 51(1)(a)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTB","LAW-EU-2025-0327","51","1","b","Minimum secondary-use category — health determinants","Article 51(1)(b)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTC","LAW-EU-2025-0327","51","1","c","Minimum secondary-use category — aggregated healthcare-system data","Article 51(1)(c)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTD","LAW-EU-2025-0327","51","1","d","Minimum secondary-use category — pathogen data","Article 51(1)(d)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTE","LAW-EU-2025-0327","51","1","e","Minimum secondary-use category — healthcare administrative data","Article 51(1)(e)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTF","LAW-EU-2025-0327","51","1","f","Minimum secondary-use category — genetic epigenomic and genomic data","Article 51(1)(f)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTG","LAW-EU-2025-0327","51","1","g","Minimum secondary-use category — other human molecular data","Article 51(1)(g)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTH","LAW-EU-2025-0327","51","1","h","Minimum secondary-use category — personal data from medical devices","Article 51(1)(h)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTI","LAW-EU-2025-0327","51","1","i","Minimum secondary-use category — wellness-application data","Article 51(1)(i)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTJ","LAW-EU-2025-0327","51","1","j","Minimum secondary-use category — health-professional status data","Article 51(1)(j)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTK","LAW-EU-2025-0327","51","1","k","Minimum secondary-use category — population health registries","Article 51(1)(k)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTL","LAW-EU-2025-0327","51","1","l","Minimum secondary-use category — medical and mortality registries","Article 51(1)(l)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTM","LAW-EU-2025-0327","51","1","m","Minimum secondary-use category — clinical trials and studies","Article 51(1)(m)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTN","LAW-EU-2025-0327","51","1","n","Minimum secondary-use category — other medical-device health data","Article 51(1)(n)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTO","LAW-EU-2025-0327","51","1","o","Minimum secondary-use category — medicinal-product and device registries","Article 51(1)(o)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTP","LAW-EU-2025-0327","51","1","p","Minimum secondary-use category — health research cohorts questionnaires and surveys","Article 51(1)(p)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P01-PTQ","LAW-EU-2025-0327","51","1","q","Minimum secondary-use category — biobanks and associated databases","Article 51(1)(q)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A051-P02","LAW-EU-2025-0327","51","2","","National additional data categories","Article 51(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A055-P01","LAW-EU-2025-0327","55","1","","Designation of health data access bodies","Article 55(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A057-P01-PTJ-SPI","LAW-EU-2025-0327","57","1","j(i)","Public national dataset catalogue task","Article 57(1)(j)(i)","LAW-EU-2025-0327-A077-P01-S01; LAW-EU-2025-0327-A077-P01-S02; LAW-EU-2025-0327-A078-P01; LAW-EU-2025-0327-A078-P02; LAW-EU-2025-0327-A078-P03-PTA; LAW-EU-2025-0327-A078-P03-PTB; LAW-EU-2025-0327-A078-P03-PTC; LAW-EU-2025-0327-A078-P03-PTD; LAW-EU-2025-0327-A078-P03-PTE; LAW-EU-2025-0327-A078-P03-PTF; LAW-EU-2025-0327-A078-P04-SP01; LAW-EU-2025-0327-A078-P04-SP02; LAW-EU-2025-0327-A078-P05; LAW-EU-2025-0327-A078-P06-S01; LAW-EU-2025-0327-A078-P06-S02; LAW-EU-2025-0327-A078-P06-S03","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A060-P03-S01","LAW-EU-2025-0327","60","3","","Holder communicates dataset description","Article 60(3), sentence 1","LAW-EU-2025-0327-A077-P01-S01; LAW-EU-2025-0327-A077-P01-S02","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A060-P03-S02","LAW-EU-2025-0327","60","3","","Annual description accuracy and currency check","Article 60(3), sentence 2","LAW-EU-2025-0327-A077-P01-S01; LAW-EU-2025-0327-A077-P01-S02","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A060-P04","LAW-EU-2025-0327","60","4","","Documentation supporting label verification","Article 60(4)","LAW-EU-2025-0327-A078-P01 through LAW-EU-2025-0327-A078-P04-SP02","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A068-P03-S01","LAW-EU-2025-0327","68","3","","Data-permit issuance","Article 68(3), sentence 1","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A069-P01-S01","LAW-EU-2025-0327","69","1","","Health-data-request route","Article 69(1), sentence 1","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A069-P04","LAW-EU-2025-0327","69","4","","Health-data-request assessment and response timing","Article 69(4)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A076-P02","LAW-EU-2025-0327","76","2","","Network coordinator","Article 76(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A076-P03","LAW-EU-2025-0327","76","3","","Competent access body for network applications","Article 76(3)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A079-P01","LAW-EU-2025-0327","79","1","","Commission establishes connected EU catalogue","Article 79(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A079-P02","LAW-EU-2025-0327","79","2","","Public availability of EU national and authorised-participant catalogues","Article 79(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A085-P01","LAW-EU-2025-0327","85","1","","Procurement and funding references to Article 78 specifications","Article 85(1)","LAW-EU-2025-0327-A078-P06-S01; LAW-EU-2025-0327-A078-P06-S03","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A097-P01","LAW-EU-2025-0327","97","1","","Delegated-power conditions","Article 97(1)","LAW-EU-2025-0327-A078-P05","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A097-P02","LAW-EU-2025-0327","97","2","","Duration of Article 78(5) delegation","Article 97(2)","LAW-EU-2025-0327-A078-P05","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A097-P03","LAW-EU-2025-0327","97","3","","Revocation","Article 97(3)","LAW-EU-2025-0327-A078-P05","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A097-P04","LAW-EU-2025-0327","97","4","","Member-State expert consultation","Article 97(4)","LAW-EU-2025-0327-A078-P05","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A097-P05","LAW-EU-2025-0327","97","5","","Notification","Article 97(5)","LAW-EU-2025-0327-A078-P05","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A097-P06","LAW-EU-2025-0327","97","6","","Non-objection and entry into force","Article 97(6)","LAW-EU-2025-0327-A078-P05","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A098-P02","LAW-EU-2025-0327","98","2","","EHDS examination-procedure incorporation","Article 98(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A099-SP01","LAW-EU-2025-0327","99","","","National penalty rules","Article 99, first paragraph","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A099-SP02","LAW-EU-2025-0327","99","","","Penalty notification deadline","Article 99, second paragraph","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A105-SP05","LAW-EU-2025-0327","105","","","Chapter IV staged application","Article 105, fifth paragraph","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-A105-SP07","LAW-EU-2025-0327","105","","","Application of Chapter IV implementing acts","Article 105, seventh paragraph","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-R084","LAW-EU-2025-0327","RECITAL","84","","Catalogue purpose content accuracy and EU discoverability","Recital 84","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-R085","LAW-EU-2025-0327","RECITAL","85","","Label transparency choice and non-exclusion","Recital 85","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-R086","LAW-EU-2025-0327","RECITAL","86","","Catalogue burden accessibility and interoperability","Recital 86","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-R087","LAW-EU-2025-0327","RECITAL","87","","Minimum fields coding and registration harmonisation","Recital 87","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-R104","LAW-EU-2025-0327","RECITAL","104","","Public procurement and funding leverage","Recital 104","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-R105","LAW-EU-2025-0327","RECITAL","105","","Commission implementing and delegated powers","Recital 105","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2025-0327-R115","LAW-EU-2025-0327","RECITAL","115","","Examination procedure","Recital 115","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A002-PT01","LAW-EU-2023-2854","2","","1","Definition — data","Article 2(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A002-PT02","LAW-EU-2023-2854","2","","2","Definition — metadata","Article 2(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A002-PT39","LAW-EU-2023-2854","2","","39","Definition — smart contract","Article 2(39)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A002-PT40","LAW-EU-2023-2854","2","","40","Definition — interoperability","Article 2(40)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A002-PT42","LAW-EU-2023-2854","2","","42","Definition — common specifications","Article 2(42)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854","2","","43","Definition — harmonised standard","Article 2(43)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A001-P01-PTF","LAW-EU-2023-2854","1","1","f","Rules on interoperability of data spaces","Article 1(1)(f)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A001-P03-PTG","LAW-EU-2023-2854","1","3","g","Personal-data law remains applicable","Article 1(3)(g)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A001-P05","LAW-EU-2023-2854","1","5","","Sectoral law and EU/national competence boundary","Article 1(5)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A037-P01","LAW-EU-2023-2854","37","1","","Competent-authority designation","Article 37(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A037-P05-PTH","LAW-EU-2023-2854","37","5","h","Competent-authority standardisation cooperation","Article 37(5)(h)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A040-P01","LAW-EU-2023-2854","40","1","","Penalty framework — paragraph 1","Article 40(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A040-P02","LAW-EU-2023-2854","40","2","","Penalty framework — paragraph 2","Article 40(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A040-P03","LAW-EU-2023-2854","40","3","","Penalty framework — paragraph 3","Article 40(3)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A042-PTC-SPI","LAW-EU-2023-2854","42","","c(i)","EDIB Article 42(c) function I","Article 42(c)(i)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A042-PTC-SPII","LAW-EU-2023-2854","42","","c(ii)","EDIB Article 42(c) function II","Article 42(c)(ii)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A042-PTC-SPIII","LAW-EU-2023-2854","42","","c(iii)","EDIB Article 42(c) function III","Article 42(c)(iii)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A042-PTC-SPIV","LAW-EU-2023-2854","42","","c(iv)","EDIB Article 42(c) function IV","Article 42(c)(iv)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A044-P02","LAW-EU-2023-2854","44","2","","Sector-specific Union requirements preserved","Article 44(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A044-P03","LAW-EU-2023-2854","44","3","","Scientific-research access law preserved","Article 44(3)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A045-P02","LAW-EU-2023-2854","45","2","","Duration of Article 33(2) delegation","Article 45(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A045-P03","LAW-EU-2023-2854","45","3","","Revocation","Article 45(3)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A045-P04","LAW-EU-2023-2854","45","4","","Expert consultation","Article 45(4)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A045-P05","LAW-EU-2023-2854","45","5","","Notification","Article 45(5)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A045-P06","LAW-EU-2023-2854","45","6","","Non-objection and entry into force","Article 45(6)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A046-P02","LAW-EU-2023-2854","46","2","","Data Act examination procedure","Article 46(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-A050-SP02","LAW-EU-2023-2854","50","","","General Data Act application date","Article 50, second paragraph","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-R103","LAW-EU-2023-2854","RECITAL","103","","Interoperability of data spaces","Recital 103","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-R106","LAW-EU-2023-2854","RECITAL","106","","Essential requirement and specification logic","Recital 106","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-R110","LAW-EU-2023-2854","RECITAL","110","","Standards and common specifications","Recital 110","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-R113","LAW-EU-2023-2854","RECITAL","113","","EDIB support","Recital 113","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-R114","LAW-EU-2023-2854","RECITAL","114","","Delegated powers","Recital 114","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2023-2854-R115","LAW-EU-2023-2854","RECITAL","115","","Implementing powers","Recital 115","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT01","LAW-EU-2024-1689","3","","1","Definition — AI system","Article 3(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT03","LAW-EU-2024-1689","3","","3","Definition — provider","Article 3(3)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT12","LAW-EU-2024-1689","3","","12","Definition — intended purpose","Article 3(12)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT27","LAW-EU-2024-1689","3","","27","Definition — harmonised standard","Article 3(27)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT28","LAW-EU-2024-1689","3","","28","Definition — common specification","Article 3(28)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT29","LAW-EU-2024-1689","3","","29","Definition — training data","Article 3(29)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT30","LAW-EU-2024-1689","3","","30","Definition — validation data","Article 3(30)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT31","LAW-EU-2024-1689","3","","31","Definition — validation data set","Article 3(31)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT32","LAW-EU-2024-1689","3","","32","Definition — testing data","Article 3(32)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT33","LAW-EU-2024-1689","3","","33","Definition — input data","Article 3(33)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689","3","","37","Definition — special categories of personal data","Article 3(37)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A002-P01","LAW-EU-2024-1689","2","1","","AI Act scope rule — paragraph 1","Article 2(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A002-P02","LAW-EU-2024-1689","2","2","","AI Act scope rule — paragraph 2","Article 2(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A002-P06","LAW-EU-2024-1689","2","6","","AI Act scope rule — paragraph 6","Article 2(6)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A002-P07","LAW-EU-2024-1689","2","7","","AI Act scope rule — paragraph 7","Article 2(7)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A002-P08","LAW-EU-2024-1689","2","8","","AI Act scope rule — paragraph 8","Article 2(8)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A002-P12","LAW-EU-2024-1689","2","12","","AI Act scope rule — paragraph 12","Article 2(12)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A006-P01","LAW-EU-2024-1689","6","1","","High-risk classification — paragraph 1","Article 6(1)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A006-P02","LAW-EU-2024-1689","6","2","","High-risk classification — paragraph 2","Article 6(2)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A006-P03","LAW-EU-2024-1689","6","3","","High-risk classification — paragraph 3","Article 6(3)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A006-P04","LAW-EU-2024-1689","6","4","","High-risk classification — paragraph 4","Article 6(4)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-A006-P05","LAW-EU-2024-1689","6","5","","High-risk classification — paragraph 5","Article 6(5)","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-AN01-PTA","LAW-EU-2024-1689","ANNEX I","","Section A","Union harmonisation legislation — Section A","Annex I, Section A","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-AN01-PTB","LAW-EU-2024-1689","ANNEX I","","Section B","Union harmonisation legislation — Section B","Annex I, Section B","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
"LAW-EU-2024-1689-AN03-PT01","LAW-EU-2024-1689","ANNEX III","","1","High-risk use area — biometrics","Annex III, point 1","NONE_IDENTIFIED","NONE_IDENTIFIED","NONE_IDENTIFIED"
