"standard_element_id","standard_id","version","formal_status","namespace","class_or_property","human_label","normative_definition","domain","range","cardinality","controlled_vocabulary","normative_or_informative","validation_artifact","intended_capability","known_limit","source_pinpoint"
"EL-SHACL-ValidationReport","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:ValidationReport","Validation Report","The result graph root describing whether the data graph conforms and containing validation results.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Record reproducible technical-conformance output.","A report is specific to one data graph shapes graph entailment regime and processor execution.","SHACL Recommendation §3.6 Validation Report"
"EL-SHACL-conforms","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:conforms","conforms","Boolean on the validation report indicating whether validation produced no results with severity sh:Violation.","sh:ValidationReport","xsd:boolean","1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","State the binary result of the selected SHACL validation run.","Must never be presented as substantive legal compliance or factual truth.","SHACL Recommendation §3.6.1 Validation Report — sh:conforms"
"EL-SHACL-ValidationResult","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:ValidationResult","Validation Result","A result node identifying a constraint failure and its focus node source and optional path value and message.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Record field-level validation evidence and actionable diagnostics.","A result identifies graph non-conformance under the selected shape rather than legal non-compliance.","SHACL Recommendation §3.6 Validation Report — validation results"
"EL-SHACL-result","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:result","validation result link","Relates a validation report to one of its validation results.","sh:ValidationReport","sh:ValidationResult","0..*","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Enumerate constraint failures in a validation report.","An empty result set is meaningful only with the matching shapes and run provenance.","SHACL Recommendation §3.6.1 Validation Report — sh:result"
"EL-SHACL-resultSeverity","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:resultSeverity","result severity","Records the severity associated with the source shape of a validation result.","sh:ValidationResult","sh:Severity","1","sh:Violation|sh:Warning|sh:Info or profile extensions","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Classify validation findings for processing and review.","Severity levels other than sh:Violation do not affect sh:conforms and do not encode legal materiality.","SHACL Recommendation §2.1.4 Severity and §3.6 Validation Report"
"EL-SHACL-focusNode","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:focusNode","focus node","Identifies the focus node that failed a constraint.","sh:ValidationResult","rdfs:Resource","1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Trace a validation finding to the affected metadata resource.","Does not identify the responsible human or real-world object without additional provenance.","SHACL Recommendation §3.6.2 Validation Result — sh:focusNode"
"EL-SHACL-resultPath","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:resultPath","result path","Identifies the path associated with the value nodes that caused a validation result when applicable.","sh:ValidationResult","SHACL property path","0..1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Trace a finding to the affected field or graph path.","Not every constraint has a result path and paths do not provide legal issue classification.","SHACL Recommendation §3.6.2 Validation Result — sh:resultPath"
"EL-MLDCATAP-Dataset-biasMethod","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:biasMethod","bias method","Describes methods used during acquisition or processing to address identifiable bias in training data.","dcat:Dataset","rdfs:Literal","0..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Document methods intended to address training-data bias.","Optional free text records a claimed method but not bias examination results effectiveness residual bias representativeness or Article 10 compliance.","MLDCAT-AP 3.1.0 §Dataset — bias method row (it6:biasMethod)"
"EL-MLDCATAP-Dataset-collectionDate","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:collectionDate","collection date","The date the data was originally collected as supplied by the uploader.","dcat:Dataset","dct:temporal literal","1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Require an original collection date for an ML dataset.","A single date may not represent a collection interval refreshes or source-specific dates and uploader assertion is not independently verified.","MLDCAT-AP 3.1.0 §Dataset — collection date row (it6:collectionDate)"
"EL-MLDCATAP-Dataset-collectionMethod","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:collectionMethod","collection method","Describes the method used to collect the data as supplied by the uploader.","dcat:Dataset","rdfs:Literal","0..1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Document how dataset observations or records were collected.","Optional free text lacks structured sources sampling protocol uncertainty original purpose and independent verification.","MLDCAT-AP 3.1.0 §Dataset — collection method row (it6:collectionMethod)"
"EL-MLDCATAP-Dataset-curationMethod","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:curationMethod","curation method","Describes processing that transformed acquired data into training testing or validation data such as cleaning normalization or augmentation.","dcat:Dataset","rdfs:Literal","0..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Document preparation and curation steps relevant to AI dataset governance.","Free text does not structurally distinguish annotation labeling cleaning updating enrichment aggregation parameters agents timestamps or outputs.","MLDCAT-AP 3.1.0 §Dataset — curation method row (it6:curationMethod)"
"EL-MLDCATAP-Dataset-dataProvenance","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:dataProvenance","data provenance","A documented trail accounting for the origin of data.","dcat:Dataset","rdfs:Literal","0..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Record a narrative account of dataset origin.","Literal provenance is not structured lineage and does not ensure completeness authority or evidence integrity; PROV-O links remain necessary.","MLDCAT-AP 3.1.0 §Dataset — data provenance row (it6:dataProvenance)"
"EL-MLDCATAP-Dataset-unsuitabilityMethod","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:unsuitabilityMethod","unsuitability method","Describes methods used during acquisition or processing to detect unsuitable data sources in light of intended model uses.","dcat:Dataset","rdfs:Literal","0..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Document screening methods for illegal inappropriate or otherwise unsuitable source data.","Optional free text does not record screening results decisions remedies legal tests or ongoing monitoring.","MLDCAT-AP 3.1.0 §Dataset — unsuitability method row (it6:unsuitabilityMethod)"
"EL-MLDCATAP-Distribution-hasFeature","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:hasFeature","has feature","Relates a distribution to an attribute or column that forms part of it.","dcat:Distribution","it6:Feature","0..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Describe distribution-level features or columns used for training testing or validation.","Optional feature declarations do not establish full schema coverage or semantic correctness.","MLDCAT-AP 3.1.0 §Distribution — has feature row (it6:hasFeature)"
"EL-MLDCATAP-Feature","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:Feature","Feature","An attribute or column associated with an ML dataset distribution and described by mandatory title and type properties.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Represent model-relevant dataset attributes as identifiable resources.","The profile does not ensure every variable is declared or capture all statistical semantic privacy and quality characteristics.","MLDCAT-AP 3.1.0 §Feature"
"EL-MLDCATAP-Feature-title","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://purl.org/dc/terms/","dct:title","Feature title","A mandatory name for the feature.","it6:Feature","rdfs:Literal","1..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Provide a human-readable feature identifier.","A label does not define semantics datatype provenance or measurement scale.","MLDCAT-AP 3.1.0 §Feature — title row (dct:title)"
"EL-MLDCATAP-Feature-type","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://purl.org/dc/terms/","dct:type","Feature type","A mandatory classification of the feature.","it6:Feature","rdfs:Resource","1..*","PROFILE_DEPENDENT","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Classify a dataset feature for machine-learning use.","The profile does not supply a complete legally relevant feature taxonomy or prove correct classification.","MLDCAT-AP 3.1.0 §Feature — type row (dct:type)"
"EL-MLDCATAP-Distribution-hasQualityMeasurement","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://www.w3.org/ns/dqv#","dqv:hasQualityMeasurement","has quality measurement","Relates each distribution to one or more quality measurements.","dcat:Distribution","dqv:QualityMeasurement","1..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Require at least one quality measurement on each ML dataset distribution.","The profile does not ensure coverage of legally relevant dimensions define measurement methods or establish substantive sufficiency.","MLDCAT-AP 3.1.0 §Distribution — has quality measurement row (dqv:hasQualityMeasurement)"
"EL-MLDCATAP-Distribution-numberOfDatapoints","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:numberOfDatapoints","number of datapoints","The total count of individual data entries or observations in the distribution.","dcat:Distribution","xsd:nonNegativeInteger","0..1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Record distribution size for quantity and coverage review.","Optional count lacks a counting method snapshot time uncertainty or record-level evidence.","MLDCAT-AP 3.1.0 §Distribution — number of datapoints row (it6:numberOfDatapoints)"
"EL-MLDCATAP-MachineLearningModel-trainedOn","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://data.europa.eu/it6/","it6:trainedOn","trained on","Relates a machine-learning model to each dataset used to train it.","it6:MachineLearningModel","dcat:Dataset","1..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Trace a model to mandatory training-dataset references.","Does not identify exact distribution split version sampling run or whether the dataset was lawfully and suitably used.","MLDCAT-AP 3.1.0 §Machine Learning Model — trained on row (it6:trainedOn)"
"EL-MLDCATAP-QualityMeasurement-type","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://purl.org/dc/terms/","dct:type","quality classification","A mandatory classification for the quality represented by the measurement.","dqv:QualityMeasurement","it6:DataQuality","1","PROFILE_DEPENDENT","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Classify a distribution quality result.","This differs from canonical DQV's explicit dqv:isMeasurementOf Metric and inDimension pattern and may need a profile bridge.","MLDCAT-AP 3.1.0 §Quality Measurement — type row (dct:type)"
"EL-MLDCATAP-QualityMeasurement-value","STD-MLDCATAP-3.1.0","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","http://www.w3.org/ns/dqv#","dqv:value","quality value","A mandatory value for the quality measurement.","dqv:QualityMeasurement","rdfs:Literal","1","PROFILE_DEPENDENT","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl","Require an observed value for each ML quality measurement.","No datatype unit formula method uncertainty threshold provenance or evaluation time is mandatory in this profile row.","MLDCAT-AP 3.1.0 §Quality Measurement — value row (dqv:value)"
"EL-CROISSANT-Dataset","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://schema.org/","schema:Dataset","Dataset","A Croissant description must type its top-level resource as schema.org Dataset and provide the required dataset-level fields.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Represent the top-level ML-ready dataset description.","Schema-level typing does not establish dataset identity ownership source authority or legal scope.","Croissant 1.1 §Dataset-level Information — schema.org/Dataset required fields"
"EL-CROISSANT-Dataset-conformsTo","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://purl.org/dc/terms/","dct:conformsTo","conforms to Croissant version","A Croissant dataset must declare conformance to the versioned specification IRI.","schema:Dataset","schema:URL","1..*","http://mlcommons.org/croissant/1.1","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Pin the dataset metadata record to Croissant 1.1.","A declaration is not proof of conformance or legal compliance and multiple specification IRIs may be present.","Croissant 1.1 §Namespaces and §Dataset-level Information required properties — dct:conformsTo"
"EL-CROISSANT-Dataset-distribution","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://schema.org/","schema:distribution","dataset distribution resources","A Croissant dataset requires one or more distribution values typed as cr:FileObject or cr:FileSet.","schema:Dataset","cr:FileObject or cr:FileSet","1..*","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Enumerate files and file collections forming the ML dataset package.","Declared resources may still be unavailable altered unauthorized or incompletely described.","Croissant 1.1 §Dataset-level Information — Modified and Added Properties; §Resources"
"EL-CROISSANT-FileObject","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:FileObject","File Object","The Croissant class for an individual dataset file and a subclass of schema:DataDownload.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Represent downloadable files with URL size format and optional checksum.","File metadata does not prove content integrity unless the checksum is present verified and tied to the retrieved bytes.","Croissant 1.1 §Resources — FileObject"
"EL-CROISSANT-FileSet","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:FileSet","File Set","A collection of homogeneous files in a container optionally selected by inclusion and exclusion patterns.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Represent archive or directory contents as dataset resources.","Pattern evaluation describes package layout but not semantic completeness or legal admissibility.","Croissant 1.1 §Resources — FileSet"
"EL-CROISSANT-RecordSet","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:RecordSet","Record Set","A set of structured records obtained from one or more sources with structure expressed as fields.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Describe record-level structure across tabular nested and unstructured modalities.","A RecordSet description need not prove full data coverage or accurate source extraction.","Croissant 1.1 §RecordSets — RecordSet"
"EL-CROISSANT-Field","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:Field","Field","A component of a RecordSet representing a table column or nested data structure.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Represent variables features labels and nested elements with sources and datatypes.","Field metadata does not establish statistical properties sensitivity or legal relevance.","Croissant 1.1 §RecordSets — Field"
"EL-CROISSANT-DataSource","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:DataSource","Data Source","Describes how data are extracted or transformed from files file sets or record sets to populate a field.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Represent machine-actionable source extraction and transformation paths.","Does not supply responsible agent execution timestamp result integrity or legal authority without provenance extensions.","Croissant 1.1 §RecordSets — DataSource"
"EL-CROISSANT-Dataset-recordSet","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:recordSet","record set","Relates a dataset description to structured RecordSet definitions.","schema:Dataset","cr:RecordSet","0..*","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Attach record and variable structure to the dataset.","Optional relation means Croissant conformance does not necessarily provide record-level structure for every dataset.","Croissant 1.1 §Format Example and Appendix 1 context — cr:recordSet"
"EL-CROISSANT-RecordSet-field","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:field","field","Relates a RecordSet to data elements appearing in its records.","cr:RecordSet","cr:Field","0..*","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Enumerate columns variables or nested elements in a record structure.","The specification's MANY cardinality does not itself establish full enumeration or a minimum.","Croissant 1.1 §RecordSets — RecordSet property table"
"EL-CROISSANT-Field-source","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:source","field source","Identifies a DataSource FileObject or FileSet from which field data originate.","cr:Field","cr:DataSource or cr:FileObject or cr:FileSet","0..1","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Trace a field to its source file collection or extraction description.","Optional relation does not guarantee complete lineage and source assertions need provenance evidence.","Croissant 1.1 §RecordSets — Field property table and DataSource introduction"
"EL-CROISSANT-DataSource-extract","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:extract","extract","Identifies an extraction method selecting content such as a column file property or JSON path from a source.","cr:DataSource","cr:Extract","0..1","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Describe deterministic selection of source data for a field.","Does not record software version execution result or validation of the extraction.","Croissant 1.1 §RecordSets — DataSource property table and Extract subsection"
"EL-CROISSANT-DataSource-transform","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:transform","transform","Identifies one or more transformations applied to source data after extraction.","cr:DataSource","cr:Transform","0..*","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Represent preprocessing transformations in a machine-loadable dataset description.","Transformation semantics are narrower than a full governed processing activity and lack agent time plan and evidence by themselves.","Croissant 1.1 §RecordSets — DataSource property table and Transform subsection"
"EL-CROISSANT-FileObject-sha256","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://schema.org/","schema:sha256","SHA-256 checksum","A SHA-256 checksum for FileObject content; strongly recommended for files in versioned datasets.","cr:FileObject","schema:Text","0..1","SHA-256","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Support integrity checking and reproducible dataset versions.","Optional checksum must be recomputed against retrieved bytes and does not prove source authority or legal permissibility.","Croissant 1.1 §Resources — FileObject property table; §Dataset Versioning/Checkpoints — Checksums"
"EL-CROISSANT-Split","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:Split","Split","A semantic datatype used to identify arbitrary dataset partitions including training validation and test splits.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","cr:TrainingSplit|cr:ValidationSplit|cr:TestSplit and dataset-defined splits","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Identify training validation test or other dataset partitions.","Does not record sampling rationale leakage controls representativeness or actual model use.","Croissant 1.1 §Data Types — Splits"
"EL-CROISSANT-Label","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/","cr:Label","Label","A semantic datatype identifying label data typically represented as fields in a RecordSet.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Mark fields or complex annotations as ML labels.","Does not describe annotation workforce protocol disagreement quality review or label validity without additional properties.","Croissant 1.1 §Data Types — Label Data"
"EL-CROISSANT-Dataset-version","STD-CROISSANT-1.1","1.1","COMMUNITY_SPEC — MLCommons specification","http://schema.org/","schema:version","dataset version","A recommended dataset version using a major minor patch convention described by Croissant.","schema:Dataset","schema:Number or schema:Text","0..1","Semantic Versioning 2.0.0 recommended","NORMATIVE","REFERENCE_IMPLEMENTATION_VALIDATOR; no normative SHACL identified","Identify dataset content versions for reproducibility and change analysis.","Version semantics depend on producer discipline and do not ensure immutable retrieval.","Croissant 1.1 §Dataset-level Information — recommended properties; §Dataset Versioning/Checkpoints"
"EL-CROISSANTRAI-dataCollection","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataCollection","data collection","Text describing the dataset's collection process.","schema:Dataset","schema:Text","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Document the collection process for AI dataset review.","Optional free text does not structure sources sampling roles original purpose or evidence and is not Article 10 compliance.","Croissant RAI 1.0 §RAI property information — rai:dataCollection"
"EL-CROISSANTRAI-dataCollectionType","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataCollectionType","data collection type","Text classifying the data collection method using recommended values such as surveys direct measurement software collection or web APIs.","schema:Dataset","schema:Text","0..*","Recommended non-closed list in RAI property table","NORMATIVE","NONE_IDENTIFIED","Classify one or more collection modes.","Recommended strings are not a formal controlled vocabulary and do not capture method parameters or legality.","Croissant RAI 1.0 §RAI property information — rai:dataCollectionType"
"EL-CROISSANTRAI-dataCollectionMissingData","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataCollectionMissingData","missing-data description","Text describing missing data in structured or unstructured form.","schema:Dataset","schema:Text","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Document known missing data for quality and gap review.","No missingness metric mechanism pattern uncertainty threshold or remediation evidence is required.","Croissant RAI 1.0 §RAI property information — rai:dataCollectionMissingData"
"EL-CROISSANTRAI-dataCollectionRawData","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataCollectionRawData","raw-data source description","Text describing the raw data or source from which the dataset was produced.","schema:Dataset","schema:Text","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Document original source material.","Free text is not a structured provenance chain and does not prove source authority ownership consent or licence.","Croissant RAI 1.0 §RAI property information — rai:dataCollectionRawData"
"EL-CROISSANTRAI-dataCollectionTimeframe","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataCollectionTimeframe","collection timeframe","Date-time values representing the start and end timeframe of collection.","schema:Dataset","schema:DateTime","0..*","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Record temporal scope of the collection process.","The MANY date-time structure does not formally distinguish start from end in the property table and does not model source-specific intervals.","Croissant RAI 1.0 §RAI property information — rai:dataCollectionTimeframe"
"EL-CROISSANTRAI-dataImputationProtocol","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataImputationProtocol","data imputation protocol","Text describing the data-imputation process when applicable.","schema:Dataset","schema:Text","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Document how missing values were imputed.","Does not encode executable method parameters affected fields validation or bias effects.","Croissant RAI 1.0 §RAI property information — rai:dataImputationProtocol"
"EL-CROISSANTRAI-dataManipulationProtocol","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataManipulationProtocol","data manipulation protocol","Text describing data manipulation when applicable.","schema:Dataset","schema:Text","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Document manipulation performed during dataset preparation.","Broad free text does not distinguish cleaning updating enrichment aggregation or responsibility and execution evidence.","Croissant RAI 1.0 §RAI property information — rai:dataManipulationProtocol"
"EL-CROISSANTRAI-dataPreprocessingProtocol","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataPreprocessingProtocol","data preprocessing protocol","Text describing steps used to bring collected data into a form processable by an ML model or algorithm.","schema:Dataset","schema:Text","0..*","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Document filtering cleaning and other preprocessing steps.","Does not encode ordered executable transformations versions agents outputs or quality effects.","Croissant RAI 1.0 §RAI property information — rai:dataPreprocessingProtocol"
"EL-CROISSANTRAI-dataAnnotationProtocol","STD-CROISSANTRAI-1.0","1.0","COMMUNITY_SPEC — MLCommons specification","http://mlcommons.org/croissant/RAI/","rai:dataAnnotationProtocol","data annotation protocol","Text describing labels or ratings produced and how annotation tasks were authored or performed.","schema:Dataset","schema:Text","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Document annotation and labeling design.","Free text does not guarantee record-level linkage workforce consent quality review or inter-annotator analysis.","Croissant RAI 1.0 §RAI property information — rai:dataAnnotationProtocol"
